source	target
IO	en
SY	hy
RO	el
CM	ewo
SD	ar
RU	kv
PL	csb
CL	es
GR	tsd
FR	nl
CA	csw
LA	lo
CD	swc
FI	rmf
US	fil
HR	en
DO	en
ET	sid
FI	sms
CM	bbj
SK	hu
TM	tk
RO	hu
MW	zu
BR	ja
CR	es
TZ	lag
MX	maz
IN	hoj
KY	en
MZ	sw
NP	thq
LU	de
MW	ny
VA	it
SE	fit
UA	bg
CM	mua
GU	en
TZ	mgy
ZW	en
TH	nod
IN	unx
GE	ka
RO	tr
IT	hr
LV	ru
US	it
RU	tt
KE	om
PH	bik
IN	bho
HU	en
CN	ky
PF	zh
UZ	ru
EC	qu
PM	fr
TR	kbd
MN	ug
MN	ru
ID	sxn
IR	gbz
KE	sw
TR	hy
RU	hy
PH	pag
CM	mgo
NU	en
FM	uli
IL	ar
AM	ku
PK	en
YE	en
IN	sat
NP	jml
IN	wtm
IR	ps
SE	smj
SS	ar
MZ	ngl
ID	ace
IN	wbq
PR	en
NG	ar
IN	sd
RU	izh
CM	yav
MZ	vmw
KE	pko
TR	tru
IT	el
NO	nn
ES	en
RS	sr
FR	frp
NE	dje
IT	nap
VN	zh
RE	rcf
UG	hi
AR	cy
PL	pl
NG	ig
UG	myx
PH	fil
NG	tiv
MD	bg
GR	el
ME	sq
DE	frr
MM	mnw
ZW	nd
DZ	en
WS	sm
SD	ha
PW	en
ID	mak
CN	wuu
US	mus
AT	hu
NP	gvr
IN	kht
IN	hoc
GG	en
CM	bas
LB	ar
ID	mad
CA	crk
GD	en
BS	en
TN	ar
KE	mas
HU	ro
SE	sv
ZA	af
GH	ak
PK	gju
BD	my
ZA	sw
KH	kdt
PK	kvx
AE	ps
IL	ru
CY	hy
YT	swb
ER	ti
BT	tsj
PH	tsg
AG	en
SC	crs
MA	ary
AW	en
CA	nsk
MR	ar
MY	ta
PH	bto
TH	mfa
CN	ru
ZA	zu
ES	es
RU	kum
NP	en
BR	kgp
MD	uk
MW	tum
ML	ses
MX	nhe
BQ	nl
MZ	zu
TH	shn
ML	ffm
RS	sk
EC	es
GR	en
RU	ba
IT	en
ET	am
SO	sw
GA	puu
KG	ru
EG	en
IN	srx
SE	fi
IR	rmt
BY	ru
ML	bmq
CM	bfd
SB	en
IR	az
IQ	fa
GH	ada
TW	zh
AS	en
US	pdc
US	haw
LT	sgs
AL	el
IR	hy
RU	ady
RS	hr
ID	bew
DE	hr
BM	en
ZA	ss
KI	en
IL	am
US	yi
BJ	fon
PH	tbw
SR	srn
TO	to
RU	alt
DJ	aa
RW	en
GR	tr
BE	wa
IN	mwr
DE	tr
US	fr
LK	si
NP	taj
BA	sr
IN	te
AU	it
MA	es
IQ	en
BH	ar
LI	wae
GQ	bvb
AI	en
MK	tr
AO	ln
SL	tem
LV	ltg
DZ	ar
CA	dgr
CH	de
LT	ru
IT	pms
SJ	ru
KE	en
BT	ne
RW	fr
QA	ml
NG	kaj
BD	mni
NL	nds
FJ	hi
IN	lmn
RS	hu
TR	sq
AE	bal
IR	glk
RO	de
TR	ka
CN	nxq
PL	uk
GB	yi
ID	ms
DE	da
AF	haz
NG	bin
CY	en
MZ	pt
MN	zh
FM	en
SY	syr
DK	jut
KM	zdj
IN	lah
CD	kg
LK	en
MA	tzm
ZA	nso
PR	es
NP	lep
SM	eo
TH	en
NE	twq
AF	kk
CF	fr
IL	pl
HK	en
PF	fr
NO	se
ID	rej
TR	bgx
IR	azb
CN	lis
NP	tdh
MO	pt
RO	ro
ME	sr
GW	pt
GQ	fan
NZ	mi
AC	en
MZ	mgh
CI	kfo
PH	hil
ZA	en
TZ	mas
BR	it
ID	id
TR	en
NP	rjs
LR	kpe
IN	bhi
SD	en
ES	eu
BQ	pap
FO	fo
CH	it
	kj
ID	nij
NE	fr
US	esu
YT	sw
GB	ml
JM	en
CN	mn
HT	fr
GB	kw
FM	pon
IR	lki
GB	pa
PT	en
TR	bg
SR	zh
GM	en
TO	en
SA	ar
CN	tdd
SN	fr
CM	ksf
BO	qu
PH	cps
CY	el
FM	yap
CD	fr
AD	es
SY	ku
PY	es
ES	gl
RU	mrj
SN	wo
	en
CK	en
RU	av
ML	fr
NG	kcg
AF	bal
BG	bg
MP	en
GU	ch
CN	gan
GF	gcr
IT	scn
GN	ff
HR	hr
TM	ru
US	en
IN	gom
PH	zh
BR	pt
ZW	ny
RS	ro
LI	de
IL	ro
RO	pl
AZ	ttt
IN	dz
CM	ar
SZ	zu
FR	gsw
RU	chm
IR	lrc
EG	el
AF	ug
NP	bap
SB	rug
MV	dv
TZ	kde
CA	it
GH	gur
NP	hi
OM	fa
JP	ja
CN	ko
GB	sco
TH	th
KN	en
LB	en
VG	en
RW	rw
VI	en
TV	tvl
CM	ybb
RU	mn
PA	es
PF	ty
PG	tpi
GN	kpe
IN	ta
BD	bn
SG	ms
PK	kxp
ML	tmh
MU	fr
IL	he
MD	ru
CA	crj
IR	bal
KE	saq
TJ	ru
KM	fr
AO	pt
ZM	ny
TK	tkl
IQ	ar
AG	pt
FI	ru
IN	mag
SM	it
RS	sq
BW	en
TT	en
NI	es
CH	gsw
CD	lua
GB	it
KE	ki
DJ	ar
DE	stq
PK	brh
CN	en
UG	xog
UG	sw
TZ	sbp
IN	bn
US	es
PK	ur
EG	arz
LS	st
KM	ar
RU	az
LA	kjg
CH	en
PK	btv
KG	ky
EE	et
SE	ia
BN	ms
ML	mwk
ER	ssy
CM	en
MY	iba
IQ	ckb
DE	ksh
IN	or
GN	man
FI	sv
AS	sm
LA	kdt
GB	gd
XK	aln
AT	bar
FR	oc
MZ	rng
MA	rif
SO	ar
UZ	kaa
GE	ru
CZ	cs
ID	aoz
AF	fa
NP	bho
CI	sef
TR	uz
IN	saz
SS	en
IN	dv
IL	ti
	naq
